#{"t_start": 1656758397.4647818, "env_id": "uav-v3"}
r,l,t
-11988.726901,600,19.149262
-12472.8892,600,37.389495
-4494.711932,600,55.323717
-13190.623212,600,85.815028
-5616.68013,600,103.570182
-6943.435512,600,135.375982
-7172.035362,600,166.449008
-5404.660764,600,184.812181
-8213.397257,600,203.198793
-4717.360366,600,221.497311
-6605.535816,600,267.144868
-2276.502233,600,285.068289
-1030.331208,600,302.980477
-5592.000039,600,332.600445
-1122.563381,600,350.535375
-5592.019938,600,383.837403
-4574.771883,600,402.156914
-1608.190778,600,433.207253
-3098.212228,600,451.482238
-1031.463696,600,469.754055
-3781.532224,600,514.589297
-10784.055924,600,532.542634
-3014.262783,600,550.40593
-10045.174904,600,580.197245
-6025.993331,600,598.58966
-1323.309354,600,616.89876
-11708.924646,600,650.264763
-3497.698402,600,681.305165
-2811.779721,600,699.744153
-2230.231111,600,718.051266
-4118.053119,600,747.921921
-712.02094,600,779.823225
-7065.556504,600,797.756312
-4944.753572,600,815.830921
-8705.545404,600,846.953222
-4483.254226,600,865.265366
-2247.413194,600,898.536174
-922.697565,600,929.47726
-901.094814,600,947.786597
-681.839136,600,965.906227
-668.376322,600,996.271063
-1744.090673,600,1028.230574
-1172.491682,600,1046.145031
-1861.358396,600,1064.396415
-1340.768007,600,1095.924759
-977.132032,600,1114.238419
-1621.278545,600,1147.389609
-1006.450728,600,1178.789261
-917.170154,600,1196.841554
-1372.547178,600,1214.836606
-1157.515671,600,1232.930017
-925.883168,600,1262.505282
-287.340777,600,1295.028532
-116.338646,600,1313.385125
-196.441706,600,1344.743795
-398.878394,600,1363.066784
-822.327139,600,1381.45322
-567.420646,600,1414.943188
-827.710612,600,1445.888233
-164.323841,600,1463.830403
-1015.880805,600,1481.821973
107.779125,600,1511.990756
-66.58178,600,1544.718455
92.962767,600,1562.985773
119.609859,600,1594.010406
7.249705,600,1612.468712
-3054.689816,600,1631.001626
-58.438056,600,1664.180262
-368.623047,600,1694.174638
-1894.317097,600,1712.21287
-14927.055574,600,1730.16041
-24.849295,600,1760.228429
-143.934219,600,1793.255658
-15.815548,600,1811.558209
-320.892353,600,1829.894909
182.762398,600,1861.04015
-266.203099,600,1878.770753
-134.010108,600,1896.919383
317.681516,600,1941.235437
184.450077,600,1959.162021
-284.674352,600,1976.914085
-80.673805,600,2006.623129
269.087766,600,2024.436976
463.286171,600,2056.950231
-186.889338,600,2074.805146
-1764.794253,600,2105.004864
-629.788619,600,2122.938626
-114.119276,600,2140.729823
50.261693,600,2186.643987
-26.568586,600,2204.936953
-537.539748,600,2223.185714
-717.609189,600,2241.108727
499.671063,600,2271.694113
-8004.031749,600,2303.665961
126.204903,600,2321.688451
42.934312,600,2352.709749
134.698853,600,2371.046362
179.861254,600,2389.343486
215.506764,600,2433.978064
-677.93511,600,2452.089749
59.034765,600,2470.330385
-55.528869,600,2488.314836
356.277997,600,2519.014434
216.989878,600,2537.081118
-57.023425,600,2569.682945
62.837254,600,2600.196476
507.544477,600,2618.035625
466.110783,600,2635.876984
-33.309488,600,2653.743626
-322.478994,600,2697.934602
398.29424,600,2715.992676
129.322581,600,2734.005223
342.661436,600,2764.249304
422.183842,600,2782.225467
-2036.830205,600,2814.150465
432.684867,600,2831.998567
115.484594,600,2861.352512
31.143382,600,2879.335863
75.605815,600,2897.22493
-82.249914,600,2940.828002
68.399574,600,2958.540162
257.124247,600,2976.426412
-102.559922,600,3005.86603
-6.649519,600,3023.655205
60.121784,600,3041.214248
-329.611169,600,3073.141845
-321.121258,600,3102.504166
70.440113,600,3120.399369
283.210103,600,3138.214819
39.139546,600,3167.807875
272.207445,600,3199.702238
-453.567346,600,3217.415426
-117.708225,600,3235.404807
-1018.30808,600,3265.103498
220.380536,600,3282.98037
-31.11076,600,3315.030284
82.698339,600,3344.394197
-88.17351,600,3362.202683
-13.827194,600,3380.099909
67.336117,600,3409.957319
306.687884,600,3441.937017
-86.436514,600,3459.710536
-1720.566975,600,3477.54568
189.590448,600,3506.94258
123.66502,600,3524.71545
1189.630866,600,3556.760709
267.226804,600,3586.184082
807.995214,600,3603.944818
-58.662402,600,3621.815378
108.283126,600,3639.47165
244.579652,600,3669.098031
129.437961,600,3701.098686
96.121396,600,3718.997344
253.830164,600,3748.871883
188.578518,600,3766.654871
-588.026071,600,3784.553563
-173.406974,600,3816.437747
162.546686,600,3845.984934
19.831932,600,3863.868599
164.033507,600,3881.877157
450.70681,600,3911.182293
452.710049,600,3943.285745
-563.268989,600,3961.335421
191.432702,600,3990.583647
189.520144,600,4008.624825
-383.605559,600,4026.266677
104.981816,600,4058.219224
219.257639,600,4088.008388
308.582978,600,4105.730753
164.198885,600,4123.532856
666.208036,600,4151.771964
481.749986,600,4182.412457
-722.834892,600,4199.63592
179.514837,600,4217.254458
393.355086,600,4246.951223
92.418275,600,4264.809368
-2371.73145,600,4282.548117
451.476413,600,4326.56451
-131.41391,600,4344.097193
161.095833,600,4361.721946
73.634005,600,4391.02732
411.551753,600,4408.955625
-1755.357875,600,4441.253871
257.784592,600,4459.444024
80.440212,600,4489.522594
487.498671,600,4507.063152
222.366488,600,4524.790026
307.735431,600,4567.355096
-290.850035,600,4585.102688
807.40004,600,4602.966175
170.404803,600,4620.770626
103.299277,600,4650.829559
265.772242,600,4683.187953
-342.120485,600,4701.156677
116.997819,600,4730.037117
694.734308,600,4747.725593
-903.539256,600,4765.36036
125.2847,600,4808.067056
479.694085,600,4825.951566
-59.534012,600,4843.869206
316.034346,600,4861.760112
-16.194565,600,4891.810005
-786.493719,600,4909.686186
488.302359,600,4941.374705
-247.822488,600,4970.39468
-81.47562,600,4988.094899
254.008351,600,5005.674286
