#{"t_start": 1656657733.926526, "env_id": "uav-v2"}
r,l,t
-334103.813296,600,18.396476
-75643.301366,600,34.907555
-120980.643124,600,51.460546
-130950.157256,600,79.484801
-261124.124847,600,96.085325
6753.235904,600,125.038785
-4771.57349,600,151.739094
39273.407007,600,168.260159
49243.628864,600,184.799487
66366.563922,600,201.337696
110104.909009,600,240.452704
39655.974834,600,256.962421
67007.621224,600,273.463402
118801.073169,600,300.166606
120903.861293,600,316.687597
134416.306486,600,345.591403
128702.430588,600,362.150647
178202.154983,600,388.840656
183901.694461,600,405.344568
180601.241997,600,421.893122
192008.926642,600,460.985595
217800.932635,600,477.49563
207301.472293,600,494.038317
224108.297472,600,520.807916
268200.991327,600,537.339803
242101.373252,600,553.858561
240600.938478,600,582.748639
267301.003303,600,609.486897
266113.273654,600,625.990737
245701.993104,600,642.506687
286201.083357,600,669.2009
292201.265091,600,698.11488
322201.631467,600,714.638805
299101.940786,600,731.198461
323100.913431,600,757.869283
325500.667976,600,774.376611
346201.001474,600,803.253725
350100.954291,600,830.018552
385502.190724,600,846.508459
388801.100027,600,863.009039
381000.997557,600,889.803207
428701.291777,600,918.723511
423005.925976,600,935.232263
402305.167217,600,951.736633
391500.968745,600,978.497748
427500.969935,600,994.972503
440101.048416,600,1023.821371
456601.270337,600,1050.609603
463501.06676,600,1067.104394
435000.848153,600,1083.596871
465601.049055,600,1100.094566
466501.180691,600,1126.859174
472201.064672,600,1155.70273
469801.111498,600,1172.202673
473401.1843,600,1199.00556
478801.02067,600,1215.462331
470100.917228,600,1231.976693
488400.952678,600,1260.838314
492601.227887,600,1287.563232
487500.725398,600,1304.035775
485401.197077,600,1320.527536
491701.319765,600,1347.29272
501000.971794,600,1376.105624
490501.79913,600,1392.578262
498300.994576,600,1419.549113
498901.223906,600,1436.007346
504300.938553,600,1452.453124
510901.160367,600,1481.268846
506401.062339,600,1508.144281
504601.128442,600,1524.558688
511201.573451,600,1541.017185
504900.924228,600,1567.958643
499801.071946,600,1596.757931
509400.833077,600,1613.228556
509700.969259,600,1629.703693
511801.10376,600,1656.666984
508501.773148,600,1673.151623
515701.44454,600,1689.632792
518401.066992,600,1728.973242
520201.099526,600,1745.428166
522000.823421,600,1761.866975
507601.236087,600,1788.776548
520501.14538,600,1805.24051
516001.1672,600,1834.033751
515401.093465,600,1850.482862
527401.287944,600,1877.442972
522600.946496,600,1893.876042
519301.100521,600,1910.32934
516600.93332,600,1949.706762
523201.010461,600,1966.126991
528601.036771,600,1982.582594
520801.024919,600,1999.017608
529200.903318,600,2026.030154
523201.254944,600,2054.836561
526200.836818,600,2071.307915
525600.930711,600,2098.333975
525601.337029,600,2114.814748
522900.818045,600,2131.285802
526201.119615,600,2170.562635
528600.96448,600,2187.0385
524401.254397,600,2203.532496
530101.18706,600,2220.002735
525005.350772,600,2246.967721
530101.28654,600,2263.416214
529200.868525,600,2292.228761
524401.150722,600,2318.586717
527401.063999,600,2334.940042
526501.107373,600,2351.279882
530701.213736,600,2367.605521
528301.019367,600,2405.929566
520800.789117,600,2422.246187
527701.112109,600,2438.560581
528601.191497,600,2464.867559
531600.949578,600,2481.18839
526201.164943,600,2509.690237
531601.078236,600,2526.046942
523505.714794,600,2552.409575
523501.507969,600,2568.742336
527401.044579,600,2585.056691
528601.19762,600,2623.607274
532801.365369,600,2639.930506
528301.038854,600,2656.24186
531000.96478,600,2682.615139
533101.149903,600,2698.944579
528001.084606,600,2715.25152
528901.005251,600,2743.775744
530100.965813,600,2770.300153
529200.966124,600,2786.615685
533101.30013,600,2802.929841
534901.026301,600,2829.564405
533401.062606,600,2858.097705
530100.888226,600,2874.459538
530701.249314,600,2890.782116
531001.080957,600,2917.450722
531000.949845,600,2933.791246
527436.059477,600,2962.302221
532800.901549,600,2989.011471
529501.042333,600,3005.360617
531601.149808,600,3021.689447
531901.169602,600,3048.474237
530700.891756,600,3076.998253
530700.923862,600,3093.325535
533700.946796,600,3109.627966
534301.052671,600,3136.091765
531001.289467,600,3152.423349
532500.979424,600,3180.981115
532801.06938,600,3207.612533
534900.906844,600,3223.89875
534300.98815,600,3240.21595
529501.071289,600,3256.522932
534605.810083,600,3283.207643
533701.076621,600,3311.703815
535801.173874,600,3328.044704
535500.922093,600,3354.723015
533101.174369,600,3371.040654
535801.084199,600,3387.342808
529501.061991,600,3415.846967
532501.223479,600,3442.324774
530706.530533,600,3458.64058
534300.721502,600,3475.132676
535500.951261,600,3501.909784
534001.186322,600,3530.714238
535200.970708,600,3547.214897
534601.042356,600,3574.170757
533400.815985,600,3590.668887
532501.072881,600,3607.15386
533700.79629,600,3635.97223
533700.765002,600,3662.996142
535201.02297,600,3679.484402
534901.208866,600,3695.980013
535500.964649,600,3723.024493
535205.049277,600,3751.841139
532501.026764,600,3768.32655
532501.033453,600,3784.803792
536701.081287,600,3811.768638
531900.68338,600,3828.221314
535201.212838,600,3844.686172
534600.952296,600,3886.060232
535201.301055,600,3902.590407
536401.148595,600,3919.112926
534900.906619,600,3946.40237
535800.716894,600,3962.871418
533401.137165,600,3991.666171
536401.007381,600,4008.136828
530100.693594,600,4035.510864
535201.163224,600,4051.982893
532201.089641,600,4068.488255
536400.837221,600,4108.103647
535200.868058,600,4124.611546
538202.105162,600,4141.114771
535801.084629,600,4157.592995
535501.495334,600,4184.900578
536701.00474,600,4213.748963
535800.992839,600,4230.242663
537600.91904,600,4257.821611
535201.300907,600,4274.409846
535200.749965,600,4290.98498
533701.389305,600,4331.088065
537900.915838,600,4347.628603
535501.088308,600,4364.21096
537001.23844,600,4380.758451
534901.216706,600,4408.332119
535201.097585,600,4424.911037
537001.244747,600,4453.970141
537000.957938,600,4481.532844
536701.033544,600,4498.086611
531900.951429,600,4514.669694
537601.102269,600,4531.229779
535500.857609,600,4571.292999
536401.013205,600,4587.859041
535801.237743,600,4604.44775
537000.949272,600,4632.061605
534901.049944,600,4648.699307
534901.032212,600,4677.802423
534602.106283,600,4694.389558
536401.143969,600,4721.370809
534901.192413,600,4737.948761
535200.961149,600,4754.523643
535501.104472,600,4794.335632
535801.042623,600,4810.960889
537000.739916,600,4827.556944
535501.186066,600,4854.804714
537300.925347,600,4871.434838
538500.961596,600,4900.56468
535800.983541,600,4917.175467
538200.94471,600,4944.417604
538800.961167,600,4961.038257
536101.060852,600,4977.649253
537901.032604,600,5004.619816
535801.079169,600,5033.725824
539101.001328,600,5050.352879
537605.542483,600,5066.953963
536701.045591,600,5094.140651
538500.897817,600,5110.762517
535500.859951,600,5139.920784
536101.21209,600,5167.101922
536101.168873,600,5183.700088
536101.288124,600,5200.330805
536700.931108,600,5227.532062
534600.83796,600,5256.653873
538800.839112,600,5273.269362
536400.861674,600,5289.865706
538801.022868,600,5317.108041
536101.167565,600,5333.721124
534901.085075,600,5362.794981
535801.014392,600,5390.045356
534900.873452,600,5406.646568
534900.905288,600,5423.244993
537601.150251,600,5439.856847
536700.964035,600,5467.18254
538201.123293,600,5496.280496
537001.13815,600,5512.857512
537300.976146,600,5540.332513
535201.101752,600,5556.940264
536400.983037,600,5573.548626
537001.152978,600,5602.630478
534901.143628,600,5630.134993
538200.950553,600,5646.715488
535501.592256,600,5663.303675
538200.96366,600,5690.806149
537301.095684,600,5719.880105
534000.93838,600,5736.480883
537001.061878,600,5763.971982
535201.153047,600,5780.596442
536400.842066,600,5797.240157
535201.112263,600,5826.42517
536700.956177,600,5853.93928
536401.206949,600,5870.527513
535801.194087,600,5887.102445
535801.34022,600,5914.629141
536700.875622,600,5943.660539
536401.534882,600,5960.269944
537600.963815,600,5976.83817
537001.095719,600,6004.370767
536701.306402,600,6020.982137
536700.903376,600,6037.595974
537900.889399,600,6077.673275
537001.206165,600,6094.255142
537301.161637,600,6110.839112
536401.024707,600,6137.900125
537600.993313,600,6154.483878
538801.003746,600,6183.66938
538801.012351,600,6200.286376
537301.105832,600,6227.348124
538501.363489,600,6243.936524
537601.037731,600,6260.542099
539101.10815,600,6300.157495
539100.961151,600,6316.784426
537901.037021,600,6333.401865
536100.802225,600,6350.010698
538200.905529,600,6377.236376
534900.989693,600,6406.335036
539401.254408,600,6422.939798
538800.938542,600,6450.234345
537901.083219,600,6466.858511
536401.267083,600,6483.467882
537601.024633,600,6523.199133
538800.936323,600,6539.779512
537901.107569,600,6556.3727
536701.123037,600,6572.961687
538801.002845,600,6599.993783
538801.339032,600,6616.594195
536100.915594,600,6645.709643
539100.805461,600,6672.933764
536700.993664,600,6689.54699
534900.998935,600,6706.157142
535201.035869,600,6722.766073
538200.989148,600,6762.527532
538500.969424,600,6779.165217
537600.998281,600,6795.774575
538800.860918,600,6823.065944
535800.904913,600,6839.655336
537601.229668,600,6868.695621
537301.030561,600,6885.300221
538800.940968,600,6912.631732
537900.875876,600,6929.2352
537301.228123,600,6945.843845
537900.855383,600,6985.840989
538201.277373,600,7002.463532
537601.099698,600,7019.075475
537600.80949,600,7046.653762
536100.861372,600,7063.250759
538201.174829,600,7092.314866
538501.006942,600,7108.921
536401.278845,600,7136.488189
537901.041815,600,7153.097141
537601.157825,600,7169.715957
537305.554516,600,7197.263934
536100.989296,600,7226.409045
537601.220108,600,7243.015919
538201.129044,600,7259.643008
537901.137408,600,7287.220118
537301.132376,600,7303.781736
537300.899234,600,7332.893618
536101.118511,600,7360.499092
538201.090088,600,7377.131151
537301.115475,600,7393.747003
538800.891648,600,7421.399125
537601.195451,600,7450.529542
538200.686213,600,7467.134021
537000.942682,600,7483.738668
535800.890732,600,7510.773542
538801.301581,600,7527.367805
538501.136523,600,7556.528402
538801.212202,600,7583.818768
537300.892194,600,7600.42323
538801.025831,600,7616.991398
538201.121721,600,7633.597615
538500.755649,600,7673.419933
537600.962883,600,7689.992644
536700.934584,600,7706.614642
536701.161327,600,7733.908802
538501.10679,600,7750.501091
539101.057525,600,7767.202585
539101.178858,600,7807.143656
538200.864011,600,7823.763459
539401.254839,600,7840.363122
539100.911409,600,7856.977633
539101.160166,600,7884.511824
539101.079898,600,7913.661511
537901.021104,600,7930.277741
539101.462447,600,7957.872803
538201.040791,600,7974.517438
538501.184659,600,7991.142511
537301.032477,600,8020.248928
538501.07563,600,8047.802003
537901.051411,600,8064.432704
538201.012837,600,8081.039401
537601.031231,600,8108.65495
539400.98023,600,8137.792016
538201.143835,600,8154.359064
538201.128304,600,8170.968832
539101.042413,600,8198.560269
538800.935028,600,8215.131274
537901.106356,600,8231.766275
538800.953985,600,8271.31632
537300.887937,600,8287.95203
534900.911712,600,8304.560451
537901.087514,600,8331.788863
538200.972549,600,8348.382962
537901.235374,600,8377.488536
538801.116797,600,8394.090924
536101.459282,600,8421.127108
539700.935529,600,8437.722731
539401.15108,600,8454.333975
538501.057865,600,8493.862653
538200.847472,600,8510.417748
537001.01585,600,8527.039717
537601.049717,600,8543.649574
538201.173421,600,8570.828927
536700.810485,600,8599.902318
539101.187044,600,8616.553167
538201.019868,600,8643.798053
538501.248539,600,8660.394946
538801.06347,600,8677.016411
537301.025964,600,8716.709006
537600.870853,600,8733.322726
537600.809485,600,8749.951097
539401.039256,600,8766.545477
539101.064102,600,8793.817668
538500.767694,600,8810.414224
539101.076782,600,8839.495854
539400.871887,600,8866.846389
