#{"t_start": 1656794363.502111, "env_id": "uav-v0"}
r,l,t
-10057.064816,600,26.506124
-9104.116742,600,52.527737
-11456.204045,600,78.508353
-23173.711208,600,116.217641
-14663.96513,600,142.271087
-3195.918216,600,186.762052
-15581.41523,600,224.438869
-14651.754515,600,250.551612
-8766.725109,600,276.620497
-4892.493421,600,302.7046
-5810.163121,600,358.745388
-6332.961439,600,384.819206
-5731.362981,600,410.846157
-8743.617839,600,448.431806
-8933.400424,600,474.489921
-5630.028755,600,519.013323
-8715.807814,600,545.200312
677.40753,600,582.634578
248.495284,600,608.668465
-17718.098385,600,634.760127
-2717.924778,600,690.71253
491.933933,600,716.759137
-1920.479534,600,742.784232
-3655.057651,600,780.121936
529.379053,600,806.198427
-9365.065533,600,832.27181
-628.971615,600,876.845874
-6956.059135,600,914.175678
-16174.271543,600,940.229606
1906.763639,600,966.307138
-10681.361128,600,1003.726333
-1173.19741,600,1048.220451
-10772.352949,600,1074.294381
-9231.936907,600,1100.494661
-377.082416,600,1137.742987
175.416279,600,1163.811836
2326.170225,600,1208.41538
49.052158,600,1245.738414
-2509.962752,600,1271.845108
-12050.47769,600,1297.945937
-3037.350134,600,1335.370751
62.962423,600,1379.913888
-3828.683161,600,1405.971389
-1270.662742,600,1432.163616
-3506.621266,600,1469.433636
351.194903,600,1495.486822
-7098.094348,600,1540.015068
-2080.621391,600,1577.320048
-4107.845931,600,1603.377967
-1922.949496,600,1629.423151
-545.185545,600,1655.588873
-545.393683,600,1692.835836
-1925.178863,600,1737.318014
-9852.910624,600,1763.482067
2182.784258,600,1800.734669
-660.72685,600,1826.781085
250.759121,600,1852.871561
1634.949531,600,1897.644059
-2806.108713,600,1934.888034
12.585684,600,1961.043023
-13038.428773,600,1987.244617
-145.040625,600,2024.4879
-1394.037114,600,2068.989398
-3018.899709,600,2095.111945
145.595501,600,2132.443147
-4044.449164,600,2158.465026
5383.109326,600,2184.538888
-984.210336,600,2229.213053
1023.276456,600,2266.44493
-2721.520946,600,2292.481125
-3004.368237,600,2318.560138
-7995.43011,600,2355.813408
-503.443591,600,2400.289949
3445.255312,600,2426.496937
-3756.951765,600,2452.656404
1412.772518,600,2489.920328
710.695378,600,2516.002429
-1185.717872,600,2542.184381
3469.190248,600,2597.872882
-2572.757108,600,2623.929846
1468.840976,600,2650.100339
-273.463332,600,2687.30503
4690.668203,600,2713.409989
-1546.605351,600,2757.951995
-1503.956789,600,2784.048375
-2382.423078,600,2821.257399
-322.968391,600,2847.335068
404.134383,600,2873.488151
4600.936982,600,2929.132366
-626.375179,600,2955.195768
3234.10948,600,2981.308029
-1317.30163,600,3007.444254
2519.956044,600,3044.649874
-2667.234038,600,3089.206273
1635.878069,600,3115.302564
517.525943,600,3152.469111
-1225.216843,600,3178.534817
1202.098936,600,3204.692445
2308.17338,600,3260.353771
-1476.378266,600,3286.409144
1143.082761,600,3312.558097
-248.582385,600,3338.664494
-7178.419999,600,3375.827486
-731.422886,600,3401.872506
-1083.617003,600,3446.510761
1386.354528,600,3483.758424
2012.834896,600,3509.828598
-1768.043146,600,3536.020224
2024.320536,600,3562.113362
866.314804,600,3617.70235
2488.387629,600,3643.866974
-3384.141354,600,3669.910885
-1.912102,600,3707.114257
312.227757,600,3733.203823
-749.634031,600,3777.821829
2847.515678,600,3803.919227
-546.376535,600,3841.099903
2986.911554,600,3867.785348
2227.664591,600,3893.864862
4074.152789,600,3949.497526
872.997619,600,3975.66084
1824.622177,600,4001.717167
2884.595289,600,4038.946028
356.205363,600,4064.986562
1509.768814,600,4091.189979
-1165.425179,600,4135.710069
1153.179485,600,4172.913105
2580.440848,600,4199.057502
3623.915578,600,4225.142558
1596.966224,600,4262.406307
48.632455,600,4307.058203
-196.702801,600,4333.138624
2163.97001,600,4359.243648
-2461.147596,600,4396.443832
3893.964397,600,4422.638391
1392.476716,600,4467.127958
2880.730522,600,4504.42468
4442.698367,600,4530.606172
3336.44662,600,4556.702551
1944.572781,600,4593.923247
2129.824611,600,4638.535148
5049.924114,600,4664.657879
-360.946637,600,4690.770863
4580.304473,600,4728.055407
3059.495508,600,4754.23384
3464.204488,600,4798.742261
-781.939282,600,4836.003857
437.822039,600,4862.18505
-2878.808538,600,4888.303477
1814.358437,600,4914.429063
-1567.694755,600,4951.603235
3489.21224,600,4996.159538
2587.749861,600,5022.224787
-621.421586,600,5059.40323
543.361349,600,5085.553502
3645.762009,600,5111.622183
134.619036,600,5156.193692
2248.363945,600,5193.531439
-4041.101017,600,5219.637423
3464.810079,600,5245.771921
3473.229752,600,5283.006523
3681.32324,600,5327.61804
4130.892259,600,5353.705509
5666.365837,600,5390.885235
3969.759881,600,5417.03878
3768.708828,600,5443.113753
2637.511528,600,5487.661339
1387.862743,600,5524.92325
4963.025865,600,5550.985934
666.820435,600,5577.033404
3071.359802,600,5614.189622
5267.438499,600,5658.755373
1655.720441,600,5684.800959
3839.462011,600,5710.92696
4138.06606,600,5748.201102
-339.425014,600,5774.276407
3655.28204,600,5800.353817
-136.173018,600,5856.110405
4198.346017,600,5882.148472
2394.094395,600,5908.22642
3018.242684,600,5945.400199
5298.097489,600,5971.543075
3913.647845,600,6016.032706
-1766.654243,600,6042.097713
3518.050355,600,6079.306212
-6107.284312,600,6105.333441
3777.5785,600,6131.361419
4783.462417,600,6187.044173
1564.061082,600,6213.120101
2409.408715,600,6239.223805
939.985693,600,6265.30723
5494.20616,600,6302.570927
5746.319975,600,6347.073701
879.619499,600,6373.141116
4341.928334,600,6410.397335
3385.334638,600,6436.422822
1820.556613,600,6462.468069
2921.194066,600,6518.246501
7201.008363,600,6544.333873
4617.539063,600,6570.402729
4293.594129,600,6596.493297
3443.284329,600,6633.732331
504.62275,600,6659.828326
6408.863261,600,6704.299929
3561.505799,600,6741.523347
4036.279346,600,6767.57933
2093.758495,600,6793.647193
3729.530858,600,6819.734702
4502.651307,600,6875.434593
3771.798949,600,6901.504044
4768.153945,600,6927.601197
-1150.706265,600,6964.925207
6599.626045,600,6990.979139
3971.918607,600,7035.470812
6232.818434,600,7061.514405
6559.476607,600,7098.776228
2597.991933,600,7124.773787
5220.507628,600,7150.806035
1257.874122,600,7206.453146
3609.117275,600,7232.484883
4184.169484,600,7258.581547
5413.359648,600,7295.8469
3582.977614,600,7321.909567
1596.942971,600,7366.424016
4824.934825,600,7392.484493
-881.328444,600,7429.572982
2443.965246,600,7455.628872
3674.721582,600,7481.654972
3174.3638,600,7519.001894
4884.580164,600,7563.344014
2482.3824,600,7589.320976
2678.975301,600,7615.239409
4627.488565,600,7651.902399
4841.997467,600,7677.871044
4895.370454,600,7722.076308
5427.144533,600,7758.637626
4299.399112,600,7784.78737
4820.68856,600,7810.662655
3867.881269,600,7847.323725
2934.983269,600,7891.39202
6426.6112,600,7917.279675
6469.694876,600,7943.202169
5411.718177,600,7979.864531
-3643.630624,600,8005.735463
2182.416133,600,8050.032661
4329.675822,600,8086.632804
4895.750026,600,8112.481764
5219.214647,600,8138.338628
4846.570556,600,8164.202187
4399.646327,600,8200.885132
7329.611608,600,8245.020525
6745.625189,600,8270.909648
3805.416251,600,8307.50078
2735.80911,600,8333.381889
4730.304137,600,8359.275175
5450.318918,600,8403.483262
3739.326358,600,8440.068913
4501.581759,600,8465.953036
1174.042808,600,8491.829
5034.041512,600,8528.41376
5014.981695,600,8572.508597
3822.881186,600,8598.365952
4742.443592,600,8634.959775
3046.880096,600,8660.808641
1638.366205,600,8686.699504
4038.348906,600,8730.944664
3837.974444,600,8767.488124
5257.760175,600,8793.390367
6546.017198,600,8819.291457
4838.989033,600,8855.88017
945.357706,600,8900.089593
6561.613899,600,8925.972668
5405.178609,600,8951.894472
4826.103915,600,8988.430506
1212.983649,600,9014.309082
2860.408507,600,9040.255525
5461.584287,600,9095.079034
2404.516625,600,9120.950664
3489.067523,600,9146.870365
3940.387138,600,9183.461218
7400.468211,600,9209.305809
6005.551924,600,9253.416001
5293.914797,600,9279.333793
7537.520043,600,9315.924586
5071.946863,600,9341.78681
5500.118827,600,9367.707089
2669.486347,600,9422.522334
4344.963449,600,9448.351419
4002.987646,600,9474.217073
6751.692406,600,9500.106783
3477.527477,600,9536.599621
6338.545355,600,9580.728644
3029.251883,600,9606.686675
4238.738102,600,9643.238787
4603.237153,600,9669.110654
7443.2321,600,9695.035287
3332.372134,600,9749.830996
6831.437224,600,9775.683907
2728.761595,600,9801.586224
4365.474146,600,9827.48405
4644.301938,600,9863.993912
4458.627248,600,9889.851841
3459.000873,600,9934.074542
5246.905619,600,9970.629855
7554.48407,600,9996.487792
5139.463614,600,10022.389719
4683.896634,600,10048.282778
6234.946707,600,10103.133301
4234.604736,600,10128.968733
3822.458666,600,10154.837369
4826.228775,600,10191.37779
6415.273541,600,10217.238215
5848.631945,600,10261.440187
5163.615248,600,10287.347498
7279.410428,600,10323.894943
6872.955173,600,10349.843882
5044.300307,600,10375.772938
5371.396456,600,10430.639986
2101.794018,600,10456.516328
7073.649483,600,10482.383064
7621.534203,600,10518.885691
6154.706498,600,10544.757785
7743.355949,600,10588.939004
5867.296901,600,10614.808062
5254.805515,600,10651.339615
6391.853862,600,10677.312978
5704.248879,600,10703.243235
2198.447068,600,10739.815655
5788.049004,600,10783.962126
5927.618758,600,10809.877583
4058.360868,600,10835.745699
1505.080473,600,10872.25841
6626.990442,600,10898.152735
6065.50677,600,10942.287793
5200.317914,600,10978.860731
4512.744221,600,11004.777426
5770.535876,600,11030.714242
6845.544616,600,11067.27765
6206.285911,600,11111.48412
5691.54404,600,11137.357393
2989.708243,600,11163.209147
5099.866398,600,11199.727996
7108.809153,600,11225.633515
4901.131073,600,11269.790905
6148.683933,600,11306.328882
6340.794815,600,11332.26408
4881.454768,600,11358.178797
5335.903012,600,11384.024786
7139.256786,600,11438.837531
7572.931701,600,11464.705317
5511.730319,600,11490.554771
4731.269043,600,11527.111407
6536.896267,600,11552.988851
5225.188331,600,11578.952988
6590.843284,600,11633.746834
