#{"t_start": 1656733874.1949673, "env_id": "uav-v3"}
r,l,t
-18793.070772,600,17.626612
-23814.096071,600,34.858286
-30349.760199,600,52.081568
-12094.239966,600,79.917622
-6319.097156,600,97.287748
-32254.858939,600,127.578724
-25525.686575,600,155.299027
-4841.807553,600,172.727557
-11643.85863,600,190.005638
-11643.982216,600,207.352265
-11186.133723,600,247.921354
-14903.755817,600,265.230677
-14551.993204,600,282.606977
-4082.24028,600,310.270251
-2609.556608,600,327.570468
-8006.608573,600,357.650897
-23175.46344,600,374.918244
-8392.663805,600,402.247372
-8601.380986,600,419.271691
-3779.021899,600,436.2838
-7855.520662,600,475.767438
-11929.345493,600,492.607824
-4696.832164,600,509.53736
-8241.375657,600,536.474017
-3252.879448,600,553.26892
-7214.481462,600,570.075177
-4750.784616,600,599.285179
-6712.126106,600,626.115845
-8033.828045,600,642.88101
-23178.215378,600,659.662748
-4060.193172,600,686.487259
-6796.068112,600,715.834434
-9441.436135,600,732.699377
-3567.123486,600,749.54309
-9710.798622,600,776.436806
-2720.610869,600,793.27538
-8935.428156,600,822.582031
-2206.152897,600,849.435122
-6239.176479,600,866.315555
-10999.528559,600,883.142223
-1873.873011,600,909.943949
-2310.441313,600,939.275179
-4368.942594,600,956.082849
-2296.215735,600,972.89205
-8355.934647,600,999.698739
-3923.73827,600,1016.505889
-2820.027514,600,1045.79054
-1365.075732,600,1072.602061
-3115.789516,600,1089.44998
-906.485883,600,1106.35425
-1626.248702,600,1123.221058
-2484.517348,600,1150.13033
-943.053894,600,1179.495662
-12898.237216,600,1196.359959
-5205.354947,600,1223.231498
-5951.194739,600,1240.095562
-1283.145031,600,1256.953705
-898.584268,600,1286.287075
-556.834736,600,1313.156435
-1120.737463,600,1330.047067
-1446.78961,600,1346.913291
-1250.275832,600,1373.772255
-29125.947754,600,1403.167299
-514.287388,600,1420.028611
-2124.259108,600,1446.798318
-1361.980899,600,1463.54373
-1657.863828,600,1480.272378
-2030.217216,600,1509.270388
-1454.511576,600,1535.32044
-831.302703,600,1551.852108
-4678.853636,600,1568.359662
-866.05111,600,1594.4297
-1539.69591,600,1623.147589
-617.230513,600,1639.659939
-2522.646986,600,1656.181274
-646.873539,600,1682.181108
-858.746192,600,1698.670004
-1309.187082,600,1715.172745
-952.770124,600,1753.490158
-1156.441801,600,1770.081659
-1601.530352,600,1786.637293
-1684.793774,600,1812.729019
-660.705376,600,1829.346555
-1009.307591,600,1858.151486
-769.486644,600,1874.723196
-818.702335,600,1900.788975
-1857.125095,600,1917.309066
-993.853595,600,1933.810874
-74.609451,600,1972.125849
-2516.070196,600,1988.690044
-1511.707181,600,2005.237615
-549.031213,600,2021.824234
-187.611243,600,2047.899015
-1037.521226,600,2076.681698
-693.216795,600,2093.2473
-234.649018,600,2119.329305
-779.258926,600,2135.914561
55.560401,600,2152.47226
-2004.498745,600,2190.811673
-299.314752,600,2207.416561
276.178389,600,2224.01952
-269.338807,600,2240.615122
-496.473483,600,2266.743453
-1573.219017,600,2283.348424
-174.931882,600,2312.164301
-1120.885889,600,2338.288265
-105.58435,600,2354.823074
-1039.041736,600,2371.364409
-418.389287,600,2387.928104
93.516093,600,2426.242297
109.824734,600,2442.872826
-524.744039,600,2459.510094
-403.721031,600,2485.614739
-68.003445,600,2502.156378
-302.923842,600,2530.860325
-323.545777,600,2547.362337
96.19413,600,2573.375981
-109.859304,600,2589.864602
-227.442846,600,2606.386845
-335.608865,600,2644.555696
-112.302675,600,2661.067989
-118.354571,600,2677.59948
-125.979784,600,2703.64518
-29.174493,600,2720.153725
-465.23756,600,2736.650525
66.348388,600,2765.398318
-194.678319,600,2791.512475
-408.243763,600,2808.106843
72.651428,600,2824.682096
113.373932,600,2850.795476
99.874543,600,2879.564009
-206.189686,600,2896.106979
-231.717997,600,2912.662588
-244.87309,600,2938.732253
-29.072718,600,2955.294878
-1947.697554,600,2984.09451
-45.99044,600,3010.173284
-66.331148,600,3026.710836
-572.510978,600,3043.251243
-230.26097,600,3069.297025
9.275714,600,3098.045958
-419.157313,600,3114.617505
-196.619916,600,3131.204083
-98.89695,600,3157.289324
-87.267616,600,3173.923394
134.092305,600,3202.84955
390.197243,600,3229.020089
41.313801,600,3245.569545
127.519248,600,3262.146353
-34055.947058,600,3278.714789
-46.493527,600,3306.080991
-134.207255,600,3334.76082
-861.214919,600,3351.198295
-118.428306,600,3377.291472
54.664698,600,3393.731593
10.763825,600,3410.167324
-7296.340143,600,3438.751806
25.110841,600,3464.658391
-4043.700857,600,3481.079247
23.788559,600,3497.504486
54.279067,600,3523.41459
-52.346376,600,3551.997769
12.406717,600,3568.449063
-236.01058,600,3594.384443
-86.34415,600,3610.820791
-422.359825,600,3627.222558
-295.504355,600,3655.816825
-10.967648,600,3681.706225
290.793028,600,3698.118437
101.296488,600,3714.518029
31.851066,600,3740.48673
259.58965,600,3769.147483
189.022238,600,3785.643069
-13.887495,600,3802.108499
-1279.050483,600,3828.093272
-10.944696,600,3844.529434
-64.00584,600,3860.958475
-80.039477,600,3899.203399
-472.432537,600,3915.637513
-312.556991,600,3932.058392
28.635507,600,3958.026741
-321.927571,600,3974.430209
278.505395,600,4003.084108
23.152633,600,4019.548375
-728.253767,600,4045.552204
129.812219,600,4062.003071
-281.038139,600,4078.43383
-361.125865,600,4116.573229
57.78667,600,4132.984712
-2263.730949,600,4149.3883
193.684349,600,4165.798696
-113.948509,600,4191.720291
-120.467788,600,4220.364501
-163.790065,600,4236.814378
-66.800307,600,4262.827129
-126.015198,600,4279.279766
-102.419494,600,4295.748473
-8.978438,600,4333.935161
118.986049,600,4350.32886
-70.546911,600,4366.738224
150.651482,600,4383.129244
145.709369,600,4409.029795
64.783832,600,4425.435791
-989.332628,600,4454.043707
-279.313873,600,4480.021645
-1309.154198,600,4496.46427
-17.187969,600,4512.914804
243.883264,600,4529.370524
44.076912,600,4567.575957
-41.405942,600,4583.997098
-148.060983,600,4600.404406
3.844527,600,4626.318172
37.356272,600,4642.73723
-968.330572,600,4671.361421
-63.07663,600,4687.809151
15.62351,600,4713.737675
-830.95482,600,4730.18081
-61.089964,600,4746.608891
102.40842,600,4785.143746
93.075336,600,4801.576038
37.259834,600,4818.019985
7.834593,600,4844.01223
234.545752,600,4860.448523
-14.39206,600,4889.137803
-218.515419,600,4905.554325
37.178681,600,4931.495956
-29.996242,600,4947.953156
40.622412,600,4964.376385
-8.954276,600,4990.343121
124.050383,600,5018.991547
68.778747,600,5035.418763
-105.900222,600,5051.856635
60.565372,600,5077.774249
117.960077,600,5094.18681
-175.464132,600,5122.845338
277.989279,600,5148.861166
35.625309,600,5165.362723
-6990.972266,600,5181.851593
-7.020555,600,5207.856207
52.468032,600,5236.55035
133.915433,600,5252.959989
128.603642,600,5269.37626
-46.202046,600,5295.289067
49.591239,600,5311.705683
159.282389,600,5340.306939
-274.616617,600,5366.230142
252.923644,600,5382.692785
239.38642,600,5399.15806
-57.104052,600,5415.606857
-1091.693973,600,5441.536896
36.179315,600,5470.199047
105.200218,600,5486.630669
27.691489,600,5512.616649
58.856228,600,5529.060727
250.08541,600,5545.509752
21.588917,600,5574.183701
-1573.40437,600,5600.112864
-1979.212456,600,5616.548627
17.910155,600,5632.988314
39.261025,600,5658.937654
60.781394,600,5687.657557
37.994332,600,5704.110402
-446.425599,600,5730.057736
-17.547776,600,5746.519764
-151.062953,600,5762.95313
47.46028,600,5791.617682
-220.027926,600,5817.546318
-24.318821,600,5834.017586
73.529073,600,5850.487098
67.945987,600,5876.435395
67.414462,600,5905.064762
49.284179,600,5921.501054
25.023295,600,5937.967415
-838.856288,600,5963.902489
-240.32622,600,5980.332778
108.821945,600,5996.785307
48.395819,600,6034.93371
-3.516071,600,6051.394829
73.452677,600,6067.862545
246.487598,600,6093.845869
303.311056,600,6110.289193
413.271636,600,6138.918755
-5.993445,600,6155.363749
-261.53122,600,6181.286243
-903.75751,600,6197.698918
149.856626,600,6214.124137
-10.867017,600,6252.244776
-627.288143,600,6268.694447
10.360244,600,6285.152303
-23.238536,600,6301.591451
-316.58658,600,6327.536321
37.783976,600,6356.196517
248.382222,600,6372.640116
-17.119744,600,6398.587616
-2.561145,600,6415.024213
-260.649116,600,6431.463154
114.075405,600,6469.584744
331.978554,600,6486.019274
-272.168077,600,6502.451645
98.570925,600,6518.901804
308.054273,600,6544.840353
137.441411,600,6561.310948
-1294.778728,600,6589.956507
31.552694,600,6615.873374
217.211181,600,6632.296138
-0.850712,600,6648.715681
58.991821,600,6665.167462
42.280446,600,6704.041255
134.296065,600,6720.712773
112.00605,600,6737.418947
186.789449,600,6763.928691
73.005879,600,6780.700666
313.128447,600,6810.003374
95.56305,600,6826.780883
54.246357,600,6853.678419
58.536108,600,6870.573704
86.075335,600,6887.628213
-5.087577,600,6927.000122
154.162046,600,6944.01428
-97.551968,600,6960.98425
400.772356,600,6987.930819
-231.716013,600,7004.887416
-79.80793,600,7034.39253
-198.331886,600,7051.238028
58.431351,600,7078.106081
151.308247,600,7094.902281
-32.731422,600,7111.830352
64.115359,600,7138.601347
-128.451356,600,7168.300376
126.11503,600,7185.152579
94.596844,600,7202.095164
132.018799,600,7228.848244
-974.214104,600,7245.842474
300.211739,600,7275.432898
-283.078082,600,7302.243595
79.059869,600,7319.215387
98.75135,600,7336.162171
-522.120745,600,7363.194899
121.972661,600,7392.576934
238.447808,600,7409.466315
59.350851,600,7426.311494
147.667843,600,7453.156131
43.138245,600,7470.092138
-241.343467,600,7499.725639
25.730868,600,7526.551352
-782.968325,600,7543.468719
146.210141,600,7560.361626
178.016213,600,7577.21167
89.41441,600,7616.730694
-120.412249,600,7633.694332
67.198454,600,7650.646705
-209.742976,600,7677.42366
270.104596,600,7694.474686
70.395163,600,7711.35263
-226.737096,600,7750.561413
158.423634,600,7767.448589
-1514.804303,600,7784.456258
-235.816635,600,7801.260935
505.92739,600,7828.175444
146.933334,600,7857.372927
10.426429,600,7874.346876
61.06263,600,7901.117299
173.432137,600,7918.093426
-414.897013,600,7935.02318
98.315003,600,7964.571997
414.986221,600,7991.260202
66.559374,600,8008.132954
177.461234,600,8024.92737
56.691507,600,8051.699793
202.855917,600,8081.083507
191.765184,600,8098.020877
138.597282,600,8114.98074
211.54076,600,8141.707539
75.483292,600,8158.572538
-764.709535,600,8175.4752
224.042627,600,8214.547564
-413.686077,600,8231.221679
-2800.668724,600,8247.873565
39.192678,600,8274.197653
-589.673553,600,8290.819373
-456.163271,600,8319.5859
283.997997,600,8336.126331
86.737095,600,8362.399022
-736.046014,600,8378.815087
60.988414,600,8395.260546
172.848937,600,8433.41348
-831.495801,600,8449.861054
81.958981,600,8466.310397
97.06131,600,8482.76786
-61.206606,600,8508.768667
223.214475,600,8537.435685
99.161739,600,8553.89367
-130.612748,600,8579.891255
100.637338,600,8596.343654
203.514665,600,8612.812315
107.617491,600,8651.026499
22.150502,600,8667.488466
200.201194,600,8683.909313
203.141093,600,8700.326922
237.637158,600,8726.235668
56.210256,600,8742.6577
-2.987804,600,8771.317677
-1.753364,600,8797.378679
-12.59112,600,8814.111054
239.025985,600,8830.989405
-203.028697,600,8847.85595
134.732423,600,8886.97074
-345.668228,600,8903.951571
109.32389,600,8921.297957
-308.20489,600,8949.42146
-840.173464,600,8967.569995
139.527455,600,9001.853805
200.887385,600,9020.61884
129.560656,600,9050.073862
51.939151,600,9069.057207
72.348039,600,9087.920308
204.401843,600,9132.910607
45.607724,600,9151.513499
56.013467,600,9170.437906
59.205234,600,9201.113381
56.100406,600,9219.83264
129.655107,600,9253.938385
15.731824,600,9272.143101
-857.131873,600,9301.776295
236.65995,600,9320.542281
91.533876,600,9339.324093
238.941913,600,9369.55081
70.930822,600,9402.800944
-114.185974,600,9421.686601
-156.886752,600,9440.310736
183.796007,600,9470.237492
106.876589,600,9489.016605
299.767866,600,9521.646621
95.027565,600,9551.284834
204.877336,600,9569.532395
-115.451991,600,9588.311765
318.983086,600,9620.026547
-188.664927,600,9653.432987
169.852168,600,9672.386076
20.910519,600,9691.173024
204.139292,600,9722.123163
69.292095,600,9741.132143
-22.080942,600,9774.99078
53.18834,600,9805.863133
281.113516,600,9824.329074
97.124821,600,9843.260215
123.682074,600,9862.240255
355.246837,600,9906.569534
301.460854,600,9925.309055
39.964184,600,9944.529779
207.083381,600,9975.517178
71.80027,600,9994.38255
