#{"t_start": 1656866570.07477, "env_id": "uav-v0"}
r,l,t
-3104.993059,600,30.303163
1724.229982,600,54.25538
646.1007,600,78.457341
-3202.900221,600,111.151694
-2011.810177,600,135.987593
-2576.505337,600,176.912851
2017.095582,600,206.64986
423.357704,600,228.134222
1101.22634,600,250.111872
-4733.487235,600,271.709359
1029.688141,600,316.423602
1211.860657,600,338.133461
2222.623294,600,360.114952
-526.703757,600,389.465666
2505.085376,600,411.89031
795.9763,600,448.147964
-922.956857,600,470.203008
-1183.0308,600,499.312314
2911.680882,600,520.912404
2723.146659,600,542.740361
3952.580788,600,590.743089
2073.38506,600,614.033363
1500.050122,600,638.060045
3471.811068,600,668.572397
624.856059,600,690.964242
2363.186686,600,714.956099
2479.949871,600,753.207615
3980.381411,600,782.450465
4065.387735,600,804.782429
3278.111993,600,827.472834
4207.862647,600,858.018614
3444.660039,600,895.517788
4614.574351,600,918.456851
3787.288968,600,942.642481
3474.026476,600,974.288895
2561.06607,600,997.781775
3600.644968,600,1038.169469
2413.688908,600,1070.530285
4102.958322,600,1094.025907
3297.963433,600,1117.708625
4781.982365,600,1147.954565
4088.773965,600,1189.620615
3682.385315,600,1212.669444
4319.164887,600,1236.902652
3461.773536,600,1268.913991
3770.925367,600,1292.801496
3252.271403,600,1330.282572
4319.98612,600,1360.163479
4062.575758,600,1381.402913
3206.150225,600,1403.041685
4223.415811,600,1424.804563
3541.768899,600,1453.720229
2733.039069,600,1490.877406
3617.055183,600,1512.015666
4659.375777,600,1541.280838
4674.510239,600,1563.626109
4802.653606,600,1585.993377
4653.128224,600,1625.408328
3992.495118,600,1657.441672
4274.945131,600,1680.114549
6523.943633,600,1702.498021
3188.009933,600,1735.31652
5126.426385,600,1772.49967
5694.351142,600,1793.867985
4747.699136,600,1822.064006
4427.092783,600,1845.383091
3317.462981,600,1867.024033
2944.598361,600,1903.705309
3358.543729,600,1931.330096
4106.866445,600,1952.396002
4108.079252,600,1973.138461
4902.524556,600,2000.73823
3339.819302,600,2036.227746
3434.272626,600,2056.637649
5058.915639,600,2077.355791
5805.286453,600,2104.643475
5529.120676,600,2125.221292
4586.088389,600,2145.824328
5839.555405,600,2187.132397
5812.843974,600,2207.692491
4379.133575,600,2228.60683
4719.363229,600,2256.36501
6170.318342,600,2276.986348
4186.924951,600,2311.549263
5117.436567,600,2332.005315
5864.767472,600,2359.267663
3776.209236,600,2379.706176
4664.826922,600,2400.113963
5446.702641,600,2441.644394
6085.220086,600,2461.86357
5385.566227,600,2482.147687
3608.358932,600,2502.468026
4852.880537,600,2529.756415
5166.132651,600,2564.450384
3810.373908,600,2584.783655
5806.319524,600,2613.450892
7735.423077,600,2634.112764
5065.392421,600,2654.428334
3347.678736,600,2696.031875
6534.226113,600,2716.224808
4525.90127,600,2736.773502
6895.735781,600,2756.953495
3789.820903,600,2784.448684
5271.788818,600,2805.125362
5667.440798,600,2840.057174
2799.803888,600,2868.20577
3941.919518,600,2888.636494
5668.25852,600,2908.970699
5608.444838,600,2929.598911
7845.747795,600,2971.45044
5967.749603,600,2991.823768
4974.419579,600,3012.20027
5088.293369,600,3039.631942
5881.55506,600,3059.976542
3440.796193,600,3094.508436
3739.060968,600,3114.827213
4405.971855,600,3142.153418
8331.608975,600,3162.60664
4068.597916,600,3182.97352
6003.209232,600,3224.407148
5101.838016,600,3244.741653
5810.949759,600,3265.165532
6043.881545,600,3292.724043
3299.972491,600,3313.094809
3927.012677,600,3333.636974
6514.92055,600,3367.944307
4651.852497,600,3395.00076
4998.144272,600,3415.526949
3861.392596,600,3436.089252
5657.632928,600,3463.05873
3654.051939,600,3497.664062
5258.869606,600,3518.936543
5375.809679,600,3539.207518
4595.100952,600,3566.245597
5446.574389,600,3586.520469
6111.461407,600,3620.768877
6943.462136,600,3647.794539
4376.265672,600,3668.127697
4054.264985,600,3688.386172
4595.197973,600,3715.759601
5988.658845,600,3749.967459
5141.782435,600,3770.231529
5955.333461,600,3790.411621
5862.416529,600,3817.499249
6026.42807,600,3838.269219
7055.678866,600,3873.035033
4913.83865,600,3900.169665
4791.91232,600,3920.466215
5181.188338,600,3941.183707
3976.692529,600,3961.520807
6492.055781,600,3988.68059
5664.56374,600,4023.481991
4507.203975,600,4043.827891
6429.210014,600,4071.061875
5258.865107,600,4091.493915
5989.329566,600,4112.202459
5342.324407,600,4146.441767
4829.971558,600,4173.476867
5057.518746,600,4193.766813
5445.750446,600,4213.92022
6015.00851,600,4241.338264
6753.727601,600,4275.740372
4720.120718,600,4296.377469
4516.668656,600,4323.443223
5742.688652,600,4343.725787
4206.120594,600,4364.238325
6958.098332,600,4398.699629
5108.05628,600,4426.237345
5156.746489,600,4446.546925
4754.833081,600,4466.864285
5973.628189,600,4494.285541
4794.756667,600,4528.849935
5451.929429,600,4549.396143
6494.058311,600,4569.660465
4200.952664,600,4596.727648
7677.184213,600,4617.191784
4768.642218,600,4637.55165
4675.634336,600,4678.661412
6526.703117,600,4698.90397
7043.686372,600,4719.129181
6500.89907,600,4746.170494
7336.238891,600,4766.284793
5981.199358,600,4800.306093
6551.385972,600,4820.959843
5933.486437,600,4848.30497
6695.379772,600,4868.590961
4618.472769,600,4888.807284
6607.876819,600,4930.097502
6892.672066,600,4950.201695
6989.752625,600,4970.202996
6504.708914,600,4990.399469
2710.619959,600,5017.447853
7781.764214,600,5051.752093
6369.91462,600,5072.153011
8293.916053,600,5099.493752
