#{"t_start": 1656866384.392885, "env_id": "uav-v0"}
r,l,t
1172.593857,600,34.236386
-218.819296,600,55.801484
2.573643,600,76.406197
16.517074,600,104.714984
521.816252,600,125.527575
1218.794309,600,161.599939
2418.178202,600,190.475285
-9.595665,600,213.947511
2078.897748,600,237.64416
2378.223283,600,261.247953
2984.300825,600,309.670107
3457.388205,600,333.80957
3368.929514,600,357.180996
2342.307405,600,385.7581
1960.88046,600,406.716902
3459.749855,600,442.5893
3137.082862,600,463.636711
3028.644841,600,491.26944
2304.886229,600,512.78435
2418.010319,600,534.242549
5670.922786,600,576.99586
2638.049409,600,598.477731
2964.294566,600,618.980285
1416.205382,600,647.202626
3163.374896,600,668.066949
1998.924558,600,689.406508
3881.212785,600,725.363086
3283.953682,600,754.844465
3601.200119,600,777.847629
4781.724608,600,800.260676
5128.553971,600,831.245665
2867.736472,600,867.827183
3864.388536,600,890.271125
3796.511034,600,912.942618
3675.326042,600,941.535008
2752.496361,600,962.67817
2340.455093,600,999.157884
2747.904083,600,1028.543231
4522.586167,600,1050.202953
3113.155617,600,1071.748539
4220.337071,600,1100.776788
5183.43956,600,1140.77692
5417.114191,600,1163.230286
4238.031969,600,1186.1369
3457.031629,600,1217.001731
4699.218715,600,1240.075559
6713.74927,600,1278.925931
5042.457231,600,1309.380075
2719.828373,600,1331.016667
4362.09322,600,1355.330234
3903.255407,600,1377.986688
2609.665028,600,1408.215724
3760.446927,600,1448.029875
3487.763768,600,1471.000564
3715.01803,600,1499.55732
3729.917765,600,1520.704488
4571.376407,600,1542.580668
5182.914274,600,1577.620543
3147.433412,600,1605.424632
3943.829415,600,1626.445405
3594.75377,600,1647.013677
4628.103094,600,1675.566304
6675.422611,600,1710.367928
5003.123039,600,1732.275507
4029.530037,600,1761.085382
5688.346622,600,1783.423128
2905.110195,600,1805.895798
3005.811833,600,1844.286608
1889.026658,600,1873.31212
3917.511669,600,1897.161205
4822.607196,600,1919.588861
5006.266868,600,1947.90498
3409.946084,600,1983.145706
4402.30853,600,2003.786797
4790.482095,600,2025.010059
3974.836163,600,2054.39821
6285.737926,600,2075.997717
3740.934617,600,2096.113153
3687.466872,600,2136.948635
3694.798635,600,2157.17168
3440.538785,600,2177.406574
3551.595282,600,2204.125027
4780.183748,600,2224.231853
3600.674392,600,2258.115873
2816.705149,600,2278.027006
4563.134842,600,2304.234341
2299.457498,600,2324.157983
4004.304765,600,2343.957701
4280.674171,600,2383.972063
6806.294299,600,2403.924972
3602.284896,600,2424.415471
5477.105211,600,2444.337044
3016.231129,600,2470.55173
6284.563547,600,2503.928854
3987.420644,600,2523.778018
3289.534442,600,2549.842999
2583.415368,600,2569.75266
3103.686565,600,2589.461194
4264.685512,600,2629.415456
4111.042339,600,2649.043706
3635.927063,600,2668.73511
4876.22021,600,2688.395453
5645.823985,600,2714.489082
8075.086196,600,2734.446842
2617.290286,600,2767.791828
4548.000918,600,2795.247981
3393.464866,600,2815.56616
3211.686467,600,2835.306952
2211.084098,600,2855.257423
3021.48305,600,2895.04779
4909.160338,600,2915.069582
6068.720396,600,2934.759291
3227.203645,600,2960.891397
4837.028485,600,2981.080228
4324.018142,600,3014.953373
4833.817219,600,3035.065082
3115.989556,600,3061.707475
3804.892224,600,3081.553401
4331.602862,600,3101.50626
5153.498123,600,3141.385235
3771.087039,600,3161.668424
3141.176364,600,3181.428687
4432.284386,600,3207.587095
1956.539324,600,3227.55459
4412.735033,600,3247.364419
4981.285132,600,3280.883389
3784.65384,600,3306.922886
6094.438358,600,3326.87825
5496.521283,600,3346.756683
4235.524376,600,3372.775759
5188.329619,600,3406.36035
4709.741289,600,3426.170757
2705.824355,600,3445.975675
3070.600922,600,3472.360412
2893.76803,600,3492.120691
5922.600655,600,3525.660099
4084.451619,600,3551.62162
2340.542385,600,3571.272866
6150.805389,600,3591.066835
3154.429897,600,3617.309941
4254.192578,600,3650.521974
5387.713638,600,3670.114409
4385.766975,600,3690.932581
4792.952005,600,3717.170023
3552.753667,600,3737.035313
2273.258396,600,3770.320016
4360.468427,600,3796.112628
2792.675603,600,3815.89089
4426.473645,600,3835.607641
2821.260339,600,3855.328031
4664.735492,600,3881.347022
6048.290223,600,3914.773193
6054.795502,600,3934.392225
4255.446167,600,3960.255055
6632.636447,600,3979.958296
4539.709548,600,3999.793203
3467.326142,600,4033.714217
3943.619546,600,4059.860951
2739.786225,600,4079.62872
3735.775958,600,4099.254723
4768.067116,600,4125.651427
4378.215927,600,4159.250806
1991.096308,600,4179.069237
3718.682799,600,4205.491655
2917.201098,600,4225.279714
4189.178605,600,4245.102601
3945.411046,600,4278.5158
1912.318299,600,4304.683164
5980.175632,600,4324.273123
