#{"t_start": 1656794363.5160053, "env_id": "uav-v0"}
r,l,t
-6438.664072,600,26.826753
-12931.771717,600,53.086204
-13170.113144,600,79.340743
-6195.979369,600,117.301669
-12941.544684,600,143.420427
-17607.000743,600,188.566818
-2958.402888,600,226.961665
-4270.743387,600,253.169572
-16180.309014,600,279.466272
-1269.786737,600,305.635176
-8735.273576,600,362.565259
-13202.766349,600,388.705308
-8982.320697,600,414.655911
-4732.025545,600,451.568206
-3145.16531,600,477.343758
-16233.247902,600,521.392101
-1538.092767,600,547.387992
-4139.747371,600,585.019296
-12092.258882,600,611.222724
-4039.623993,600,637.228274
-19064.435028,600,693.76289
-12963.370949,600,719.717952
534.147205,600,745.674579
-9115.50784,600,783.583468
-3355.720204,600,809.643395
-12486.883168,600,835.735495
-9627.231765,600,880.709164
-1793.929759,600,918.676029
-5086.161362,600,944.769428
-3641.949018,600,970.945177
-5363.524132,600,1008.825486
-4548.748826,600,1053.697957
-2793.717921,600,1079.878897
410.016913,600,1106.153838
-160.472344,600,1144.584918
-4224.548165,600,1170.829309
-8389.686154,600,1215.654213
-8934.287854,600,1253.59592
131.902999,600,1279.619109
-6828.498874,600,1305.508806
-640.256978,600,1343.51359
-18974.215058,600,1388.412805
-5797.911581,600,1414.497344
367.040284,600,1440.95041
-3690.849992,600,1479.30384
213.205452,600,1505.576909
-4499.534496,600,1550.559342
-3419.637202,600,1588.231199
153.322616,600,1614.442435
-2466.892699,600,1640.639355
455.291799,600,1666.893696
-7898.255679,600,1704.747029
2170.874202,600,1749.692317
-1558.587461,600,1775.702793
-1389.779798,600,1813.805519
-1293.22343,600,1839.864655
611.820503,600,1865.924404
-1895.641503,600,1910.680849
2117.718285,600,1948.517685
-9289.139992,600,1974.620154
1831.161101,600,2000.738327
3101.147387,600,2038.775705
-5717.406318,600,2083.295038
272.118618,600,2109.450563
1350.233434,600,2147.538912
-1434.12301,600,2173.646518
2887.729523,600,2199.850459
-734.951357,600,2244.463579
-1915.00907,600,2281.435346
-9309.852289,600,2307.19051
-5455.123009,600,2332.954178
-172.630324,600,2369.901723
179.599802,600,2414.009416
2246.359981,600,2440.186125
445.390439,600,2466.399849
54.096103,600,2504.032965
1228.781064,600,2530.132245
1233.534065,600,2556.377073
-2424.294033,600,2612.901869
-4173.897941,600,2639.029158
-3757.786629,600,2665.02392
-27471.327285,600,2702.57334
-1095.950935,600,2728.65959
23.034537,600,2773.446475
