#{"t_start": 1656584244.7147954, "env_id": "uav-v17"}
r,l,t
-6742.214278,600,44.386812
-5171.919298,600,88.252311
-10970.591597,600,132.241823
-693.557583,600,204.608255
-3419.973693,600,248.566764
-2824.798895,600,327.574739
-651.414914,600,399.669886
-1096.98066,600,443.602305
-3789.100686,600,487.493024
-3468.982546,600,531.280212
244.155535,600,638.147604
203.997247,600,682.087339
502.16499,600,725.961294
1077.215003,600,797.693301
672.82374,600,841.646956
-549.764515,600,920.220941
-311.921893,600,964.002661
76.303587,600,1035.746413
-380.763411,600,1079.573146
163.383372,600,1123.47897
270.442983,600,1229.51557
198.301834,600,1273.407431
162.655874,600,1317.167584
-154.495111,600,1388.982615
640.466314,600,1438.526806
135.762006,600,1482.904616
147.913561,600,1561.842613
-805.344794,600,1635.567238
1175.056804,600,1679.616992
9.252914,600,1723.655177
-176.23914,600,1796.087145
194.445623,600,1877.0662
281.084379,600,1921.130726
435.725069,600,1965.146635
64.40505,600,2037.829341
-1568.809897,600,2081.921419
-137.599346,600,2160.930223
885.893507,600,2233.377056
36.18971,600,2277.420882
452.354255,600,2321.317971
303.707052,600,2393.683187
358.381359,600,2472.727864
372.007882,600,2516.805252
444.400095,600,2560.796489
1575.797461,600,2633.189501
386.554968,600,2677.216124
92.521272,600,2756.139507
361.019738,600,2830.813554
-288.080748,600,2874.757643
111.110708,600,2918.656751
358.039308,600,2962.579965
110.740367,600,3034.808341
259.066378,600,3113.764277
464.496301,600,3157.698354
540.688558,600,3229.741205
-148.153981,600,3273.802959
549.258937,600,3317.840213
1616.272925,600,3396.263678
815.237775,600,3468.187881
370.770279,600,3511.944915
504.370412,600,3555.665613
1217.025348,600,3627.648686
608.018916,600,3706.114046
1519.731449,600,3749.935874
161.903162,600,3821.487678
603.063799,600,3865.32188
244.515162,600,3909.061026
623.048463,600,3987.698957
1172.80994,600,4059.21438
612.803453,600,4103.105238
773.225049,600,4146.89491
312.879751,600,4218.634995
1207.365784,600,4297.35321
