#{"t_start": 1656794363.5138783, "env_id": "uav-v0"}
r,l,t
83.488202,600,26.085964
9554.47431,600,51.555945
-7284.221568,600,77.021647
-24024.669722,600,114.265549
-958.357126,600,139.883634
-3161.589602,600,183.650049
5316.281458,600,220.869433
-3308.127409,600,246.462998
2763.367581,600,272.095306
-9193.916955,600,297.734215
-15014.912762,600,353.064672
-18390.921833,600,378.595427
-1536.888488,600,404.138741
-1033.327673,600,441.270217
-4082.518109,600,466.854648
-2730.454921,600,510.582067
-1991.895826,600,536.176647
568.181982,600,573.308446
1663.858647,600,598.930634
4654.812134,600,624.560461
1550.817258,600,679.798334
2946.091346,600,705.406825
-1897.752249,600,730.999756
-5314.393074,600,767.940355
-3454.223793,600,793.589859
-5869.190868,600,819.21374
-10831.155803,600,862.844024
-727.729353,600,899.780929
-3252.800831,600,925.363417
-9401.959537,600,950.920668
7191.303533,600,987.829811
612.79403,600,1031.590347
5190.644142,600,1057.198125
1275.572728,600,1082.83893
6384.793935,600,1119.796475
2372.985784,600,1145.426842
-2278.671623,600,1189.077427
-1561.087387,600,1226.03769
-429.931676,600,1251.682048
20653.00065,600,1277.298046
-18133.221436,600,1314.205823
-5486.478032,600,1358.014503
3712.87697,600,1383.617007
599.559012,600,1409.196069
-6641.394831,600,1446.135761
5501.645512,600,1471.743598
15863.295209,600,1515.39366
-2584.593765,600,1552.301067
377.798102,600,1577.927432
7735.960415,600,1603.554255
2977.226826,600,1629.187646
-5270.380441,600,1666.145178
12659.674241,600,1709.812623
-2647.251227,600,1735.345952
-5190.121975,600,1772.168883
-23796.135272,600,1797.815532
-12082.402049,600,1823.428102
5081.861416,600,1867.128294
5278.836142,600,1904.029996
9458.25332,600,1929.654375
10633.854453,600,1955.26241
13978.303212,600,1992.070328
790.420886,600,2035.909407
-5900.946691,600,2061.591691
9203.375333,600,2098.532119
2306.885369,600,2124.271554
-5221.008222,600,2149.932151
4581.462185,600,2193.631161
14269.498829,600,2230.523201
11476.916887,600,2256.187661
-2354.889912,600,2281.869875
2635.829179,600,2318.726565
2171.471053,600,2362.489625
-10.254212,600,2388.111608
-7971.480743,600,2413.809291
2213.852531,600,2450.661319
4331.225491,600,2476.35566
7874.378024,600,2501.962023
-2783.32653,600,2556.806115
9842.674764,600,2582.464712
-661.41927,600,2608.092438
-5692.537991,600,2644.912924
10423.322676,600,2670.625875
-25972.551818,600,2714.385592
2727.318471,600,2739.964173
5067.634648,600,2776.776528
-2543.872002,600,2802.500284
17500.979593,600,2828.112635
2303.374127,600,2882.993783
18949.136548,600,2908.667446
2090.234246,600,2934.370189
-6109.081819,600,2960.062067
256.294087,600,2996.903145
1836.876138,600,3040.746787
1107.755845,600,3066.365718
9709.239761,600,3103.203946
-23993.04969,600,3128.842649
-7418.239325,600,3154.451985
3472.864782,600,3209.397837
7477.212133,600,3235.027202
3667.93257,600,3260.659178
-12440.059238,600,3286.259115
-14036.248675,600,3323.149887
-2293.989858,600,3348.760098
-4719.854965,600,3392.427476
-1955.970508,600,3429.202604
-135.614703,600,3454.805965
4111.799126,600,3480.447961
-4702.73613,600,3506.097971
-19396.790957,600,3560.937629
5721.158231,600,3586.56799
7525.957351,600,3612.115795
4261.716626,600,3648.941404
3285.26118,600,3674.538203
45.862374,600,3718.232607
9552.209264,600,3743.882121
-15277.167929,600,3780.717825
588.21021,600,3806.380224
9985.56383,600,3832.059286
7523.190891,600,3887.506202
-4009.695191,600,3913.131481
2496.082972,600,3938.736867
5118.765532,600,3975.5561
1701.759821,600,4001.156739
548.619404,600,4026.831913
4257.170151,600,4070.620537
4100.012077,600,4107.441243
-3567.559639,600,4133.082612
3405.750387,600,4158.767271
4690.442957,600,4195.647206
3202.094635,600,4239.407753
2749.929835,600,4265.094445
4166.450115,600,4290.697667
-3600.475416,600,4327.472479
-4363.969002,600,4353.08278
-3959.174284,600,4396.953418
15990.682307,600,4433.8395
-893.603236,600,4459.472355
-7391.391072,600,4485.125724
9798.884018,600,4522.053918
8456.355839,600,4565.71941
2777.584542,600,4591.424451
-303.520508,600,4617.063001
996.830254,600,4653.856722
4850.871572,600,4679.51872
9856.906148,600,4723.249625
10201.949771,600,4760.051525
7442.63962,600,4785.660445
-7515.119746,600,4811.277311
3801.211727,600,4836.881918
4970.839148,600,4873.65225
3295.249747,600,4917.364135
-911.100036,600,4943.074775
3494.60057,600,4979.933961
1425.563736,600,5005.581985
-6070.649896,600,5031.25003
-4580.410303,600,5075.019666
5050.235102,600,5111.759779
-5418.449815,600,5137.372819
8241.566251,600,5162.979212
2271.858936,600,5199.816337
4735.190326,600,5243.529269
-9485.546521,600,5269.184436
14665.797268,600,5306.04605
2856.290959,600,5331.656729
11624.564495,600,5357.326926
-18334.968401,600,5401.092189
6087.944684,600,5437.862996
1671.528479,600,5463.483669
1715.515438,600,5489.128064
1054.747797,600,5525.955683
-1658.063701,600,5569.718512
-3261.752857,600,5595.319912
16134.287592,600,5620.951941
-8676.125096,600,5657.687246
-12635.919491,600,5683.275504
677.183254,600,5708.986122
968.139394,600,5763.961076
8255.946651,600,5789.575952
7551.096603,600,5815.209882
7784.855502,600,5852.086685
3372.516577,600,5877.694442
6121.546938,600,5921.382621
4490.850063,600,5947.038522
53.957862,600,5983.874497
6367.048464,600,6009.504462
13388.68035,600,6035.168732
-2861.89046,600,6090.144441
15571.438901,600,6115.75072
10723.136308,600,6141.376679
7293.809939,600,6167.066976
190.686402,600,6203.912548
-3252.891204,600,6247.654982
5027.176795,600,6273.328355
15776.038789,600,6310.147639
11415.70505,600,6335.78436
-5835.400925,600,6361.397524
-462.816987,600,6416.347258
-4907.91524,600,6442.00022
-14672.93318,600,6467.642406
60.561649,600,6493.308185
4898.872152,600,6530.171646
10578.909288,600,6555.751992
13156.403478,600,6599.449556
3480.895761,600,6636.265513
5446.47852,600,6661.869146
2140.639352,600,6687.47245
-6495.090187,600,6713.087763
2603.770482,600,6767.99446
16421.371685,600,6793.556309
10147.24547,600,6819.179364
840.502246,600,6856.002734
9997.380832,600,6881.597609
-766.204883,600,6925.304788
20863.096535,600,6950.938072
3046.397286,600,6987.764555
13603.286448,600,7013.398889
15328.710792,600,7039.04826
1594.948354,600,7093.956069
5936.225769,600,7119.600266
1785.272149,600,7145.256272
7183.188894,600,7182.121702
-5212.273994,600,7207.841333
7335.444222,600,7251.588602
5516.049321,600,7277.208581
4817.740786,600,7314.126112
5169.874942,600,7339.736064
8209.183347,600,7365.425606
9919.57635,600,7402.205089
-308.178597,600,7445.877787
4669.785864,600,7471.50262
877.870257,600,7497.11113
2074.870774,600,7533.970935
-432.307551,600,7559.642323
15628.491158,600,7603.435019
9314.948747,600,7640.423736
17200.272012,600,7666.10032
-7303.314985,600,7691.810364
18812.035054,600,7728.747457
-6336.288102,600,7772.436132
5828.670741,600,7798.453016
5794.821391,600,7824.053808
5926.367277,600,7860.930265
11858.528768,600,7886.524851
5559.634424,600,7930.240943
-11822.87725,600,7967.189635
6300.4031,600,7992.907312
6042.303191,600,8018.621505
1293.852498,600,8044.302278
-6104.042216,600,8080.641411
5717.327287,600,8124.108226
-1550.860931,600,8149.584294
12905.445051,600,8185.877516
11369.699139,600,8211.343555
8341.574628,600,8236.855399
21084.121541,600,8280.285697
-7528.49593,600,8316.547594
2284.290038,600,8342.025697
3907.203808,600,8367.560065
12048.441667,600,8403.784871
5582.486641,600,8447.205599
23275.936666,600,8472.686141
16194.056786,600,8508.925758
-4057.034185,600,8534.384722
9144.62272,600,8559.844004
-3494.29293,600,8603.286449
3149.53885,600,8639.519868
