#{"t_start": 1656794363.5089576, "env_id": "uav-v0"}
r,l,t
-5201.184916,600,26.065157
-10640.926267,600,51.589993
-5803.062353,600,77.118827
-8450.081287,600,114.384483
-10872.672869,600,140.028868
-4546.736641,600,183.867412
-11009.712826,600,221.168564
-9011.284562,600,246.747217
-5983.584599,600,272.319934
-14985.649427,600,297.935892
-4410.441698,600,353.299542
-3299.80141,600,378.853295
-5677.727823,600,404.45055
-8756.762489,600,441.546134
-3885.906886,600,467.117554
-5502.133699,600,510.850647
-6248.924249,600,536.449978
-7484.943878,600,573.568527
-8840.520827,600,599.226502
-2157.909089,600,624.915253
-2130.122472,600,680.056146
-7304.304446,600,705.657775
-24538.396245,600,731.251158
-960.44176,600,768.227069
-5341.706563,600,793.945718
-3212.465554,600,819.554464
-14258.41567,600,863.36388
-6591.036862,600,900.355867
-19979.169364,600,925.931781
-9276.200219,600,951.537572
-2186.827782,600,988.489155
677.678836,600,1032.2934
-10341.076258,600,1057.912151
-2498.407277,600,1083.547202
-171.141034,600,1120.475376
-1755.109076,600,1146.078006
-9928.806293,600,1189.797432
-16282.84153,600,1226.630222
-10893.146585,600,1252.270328
-934.525597,600,1277.822262
-990.967996,600,1314.617555
-2023.593591,600,1358.338687
-2826.170951,600,1383.964406
-5463.685018,600,1409.600487
1414.523598,600,1446.55097
-1530.311229,600,1472.266493
-1077.377049,600,1516.133555
5046.703014,600,1552.964236
-2875.580027,600,1578.659383
-7568.543029,600,1604.242635
-4260.549788,600,1629.898816
-16161.771925,600,1666.806484
216.951737,600,1710.578637
-2466.869739,600,1736.196891
1049.477342,600,1772.995803
-1858.622544,600,1798.739148
-6351.409828,600,1824.368229
-2343.125569,600,1868.141414
57.622425,600,1905.040651
2597.50156,600,1930.65006
1745.844747,600,1956.271731
818.985047,600,1993.115101
-936.214189,600,2036.928321
-946.979816,600,2062.507865
2893.172493,600,2099.249123
-89.908022,600,2124.953977
-9995.09148,600,2150.55754
-328.45132,600,2194.287389
133.585031,600,2231.114869
1879.640344,600,2256.76222
655.447032,600,2282.403216
-3130.139066,600,2319.156569
38.316955,600,2363.01165
3372.221113,600,2388.633296
-474.570526,600,2414.322434
4296.725767,600,2451.150457
-1657.667886,600,2476.838891
249.56421,600,2502.462997
-1891.694828,600,2557.402862
-21.922238,600,2583.006398
-4921.069711,600,2608.588469
961.337845,600,2645.369992
273.197652,600,2671.012845
3550.532039,600,2714.941725
-1181.535935,600,2740.557223
-1308.76594,600,2777.356664
-5617.856209,600,2803.072377
-2002.570564,600,2828.724018
-1524.497934,600,2883.673538
3006.597074,600,2909.277624
1589.213007,600,2934.907466
1715.321364,600,2960.516632
729.921789,600,2997.272556
-1407.815612,600,3041.139108
-7376.28369,600,3066.798408
669.225339,600,3103.634553
258.988875,600,3129.322179
1175.120792,600,3155.024521
1265.344208,600,3209.972209
