#{"t_start": 1656758304.4204788, "env_id": "uav-v0"}
r,l,t
-12275.427001,600,17.804011
-8831.722647,600,35.073724
-3730.327128,600,52.430508
-5036.439577,600,80.71709
-4943.13432,600,98.003752
-4474.633523,600,128.665557
-14520.864683,600,156.961709
-7238.0047,600,174.207167
-4198.398972,600,191.534716
-4810.170064,600,208.822941
-7524.313055,600,250.438187
-1646.503278,600,267.815891
-6562.510875,600,285.103955
-3888.853715,600,313.371745
-2578.604688,600,330.749069
-1093.917293,600,361.455117
-18541.633738,600,378.710258
-3378.890041,600,407.052718
-1313.589287,600,424.325544
-776.715525,600,441.664752
-1185.263884,600,483.211944
-1059.58835,600,500.52498
-322.056991,600,517.848762
-4720.567247,600,546.205884
900.092341,600,563.508312
-317.654786,600,580.855796
-6090.46233,600,611.391174
-743.371822,600,639.606666
1026.474786,600,656.934721
1140.004903,600,674.2222
-812.656596,600,702.565928
-1879.722217,600,733.21672
-547.784219,600,750.524542
-1146.499236,600,767.858705
-2466.034951,600,796.169007
1761.284499,600,813.499799
-262.324637,600,844.127766
-400.42883,600,872.329268
1498.365261,600,889.630536
2681.723386,600,906.890412
646.154487,600,935.295666
307.960329,600,965.911885
-1022.960845,600,983.134467
552.818782,600,1000.293113
1005.644432,600,1028.146408
41.709847,600,1045.269152
-474.053121,600,1076.419812
4259.034002,600,1105.542017
-1708.479769,600,1123.070868
873.006361,600,1140.597831
776.022857,600,1158.002158
1627.857215,600,1185.644654
2309.11628,600,1215.855918
-182.382033,600,1232.998737
1631.82165,600,1261.478264
192.264641,600,1279.022148
1672.195917,600,1296.541893
-237.418914,600,1327.911234
-146.325592,600,1357.177547
1323.190311,600,1374.691484
1036.675205,600,1391.750221
1916.579115,600,1419.787752
1980.430979,600,1449.824105
972.71798,600,1466.87618
3451.902788,600,1495.903085
-371.142067,600,1513.433464
633.204157,600,1530.954365
3563.551721,600,1562.212291
-722.215455,600,1590.703332
1362.336951,600,1607.808737
-942.848887,600,1624.879739
1137.672087,600,1652.642624
2008.733808,600,1683.552346
1361.058365,600,1701.060357
2021.702054,600,1718.568736
1758.385201,600,1747.646072
1982.622108,600,1765.153439
646.545246,600,1782.635738
1430.245943,600,1823.559626
2693.389969,600,1840.634203
2661.624557,600,1857.67845
3149.018,600,1886.158665
4179.822326,600,1903.680914
1516.740437,600,1935.04686
1127.901335,600,1952.573765
1486.235873,600,1981.714383
2052.70622,600,1999.255322
1275.166843,600,2016.492745
1561.697463,600,2057.502743
2945.58154,600,2074.621459
-272.716397,600,2091.784577
3129.550711,600,2109.111652
909.073454,600,2138.197762
250.686385,600,2169.604321
620.002038,600,2187.095282
2276.578359,600,2216.213849
1764.599932,600,2233.600804
1188.478779,600,2250.597438
2127.053397,600,2291.521195
4705.759836,600,2308.647209
656.691975,600,2325.727003
2946.639506,600,2343.208081
1189.949279,600,2372.27496
5198.372321,600,2389.778693
578.922402,600,2421.044259
4526.989582,600,2450.157196
3023.029217,600,2467.438826
4364.937038,600,2484.505984
2961.270383,600,2501.648116
602.80605,600,2542.44298
1201.603938,600,2559.724599
2842.827548,600,2577.206684
